"pvalue" "qvalue" "lfdr" "pi0" "significant" "fdr.level"
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.0126301004979764 0.0803873349869957 0.497185997222948 1 0 0.05
1 1 1 1 0 0.05
0.221483335619709 0.790681225269916 1 1 0 0.05
1 1 1 1 0 0.05
0.102696077001807 0.440470964516968 1 1 0 0.05
1 1 1 1 0 0.05
3.3141548048623e-07 0.00100686143312287 5.12871197946241e-05 1 1 0.05
0.00369300724886052 0.0279959041909854 0.195102886831991 1 1 0.05
0.000118954477756236 0.00161973431463716 0.0117369444772801 1 1 0.05
0.16665465286027 0.636714373398091 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.361549352684566 1 1 1 0 0.05
5.5798627349203e-07 0.00100686143312287 8.48110266209682e-05 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.772671767062399 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
3.9810549705242e-05 0.00110387431851608 0.00454247612435017 1 1 0.05
0.570052946837668 1 1 1 0 0.05
0.16480725122438 0.631158304188022 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.0470447454277193 0.237352716246576 1 1 0 0.05
0.00116849768398477 0.0103298799289485 0.0783096062518082 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.533075942942423 1 1 1 0 0.05
0.000178521821182288 0.00209726864984877 0.0165738524978089 1 1 0.05
1 1 1 1 0 0.05
0.457063468899764 1 1 1 0 0.05
0.000555380937515895 0.00539598206287186 0.0427133775926506 1 1 0.05
1 1 1 1 0 0.05
0.000839510626116814 0.00774125352241544 0.0598986679956629 1 1 0.05
0.0111848856271794 0.0728151475501779 0.454222093586136 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1.71294244234062e-09 0.00100686143312287 1.93307547265545e-06 1 1 0.05
1 1 1 1 0 0.05
0.0157912649278808 0.0966751215788409 0.586307360191686 1 0 0.05
0.162747364592114 0.624759969192205 1 1 0 0.05
1 1 1 1 0 0.05
0.147815851633599 0.581626392677891 1 1 0 0.05
1 1 1 1 0 0.05
0.825053684680076 1 1 1 0 0.05
0.00150359332178837 0.0128671040451863 0.0959109181059409 1 1 0.05
0.22923924226742 0.811690956189054 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.688864321182672 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.401574101861284 1 1 1 0 0.05
0.0687549673587196 0.320590254422563 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.0481468503915715 0.241924737460497 1 1 0 0.05
1 1 1 1 0 0.05
0.0884815038134275 0.391420044892183 1 1 0 0.05
0.648826951748678 1 1 1 0 0.05
0.0565732267797417 0.27572148837947 1 1 0 0.05
1 1 1 1 0 0.05
0.350527244619995 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.0018057442940705 0.015075100830481 0.111024039486593 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.0551768098628174 0.270067034062085 1 1 0 0.05
1 1 1 1 0 0.05
0.360184397572496 1 1 1 0 0.05
0.000833123577433273 0.0077044853544672 0.0595273671120893 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.00014611333153634 0.00183589929018692 0.0139849824857512 1 1 0.05
1 1 1 1 0 0.05
0.64491459043806 1 1 1 0 0.05
0.00443515372551266 0.032902938035758 0.224898937883071 1 1 0.05
1 1 1 1 0 0.05
6.60438191245025e-05 0.00126428271158988 0.00707124917122705 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.120942813106127 0.499643829543427 1 1 0 0.05
3.07436145973546e-11 0.00100686143312287 1.93307547265545e-06 1 1 0.05
0.678901276137268 1 1 1 0 0.05
1.17544925759167e-05 0.00100686143312287 0.00152035306671058 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
