RBP	Cell_line	eCLIP_exp	Control_exp
AGGF1	HepG2		ENCSR543TPH	ENCSR182AEG
AUH	HepG2		ENCSR334QFR	ENCSR821VMD
BCCIP	HepG2		ENCSR485QCG	ENCSR655BRZ
BUD13	HepG2		ENCSR830BSQ	ENCSR777PDA
CDC40	HepG2		ENCSR815VVI	ENCSR828ALT
CSTF2	HepG2		ENCSR384MWO	ENCSR309GHK
CSTF2T	HepG2		ENCSR919HSE	ENCSR391GLS
DDX20	HepG2		ENCSR722KBG	ENCSR240ZFU
DDX3X	HepG2		ENCSR648LAH	ENCSR090VXV
DDX55	HepG2		ENCSR845VGB	ENCSR454OFD
DDX59	HepG2		ENCSR214BZA	ENCSR334OMC
DDX6	HepG2		ENCSR141OIM	ENCSR099KAK
DGCR8	HepG2		ENCSR061SZV	ENCSR298SAD
DHX30	HepG2		ENCSR565DGW	ENCSR151MPZ
DKC1	HepG2		ENCSR301TFY	ENCSR197LHH
DROSHA	HepG2		ENCSR834YLD	ENCSR785VKF
EFTUD2	HepG2		ENCSR527DXF	ENCSR878HWU
EIF3D	HepG2		ENCSR041NUV	ENCSR755PSW
EIF3H	HepG2		ENCSR916XIV	ENCSR756NPZ
EIF4B	HepG2		ENCSR410RKN	ENCSR825FZL
FAM120A	HepG2		ENCSR987NYS	ENCSR839KAX
FASTKD2	HepG2		ENCSR023UHL	ENCSR671FKF
FKBP4	HepG2		ENCSR018ZUE	ENCSR704LTK
FUBP3	HepG2		ENCSR486YGP	ENCSR056RZV
GRSF1	HepG2		ENCSR668MJX	ENCSR638YHN
GRWD1	HepG2		ENCSR893NWB	ENCSR835ZOK
GTF2F1	HepG2		ENCSR265ZIS	ENCSR451HMR
HNRNPA1	HepG2		ENCSR769UEW	ENCSR110XNS
HNRNPC	HepG2		ENCSR550DVK	ENCSR497ANA
HNRNPK	HepG2		ENCSR828ZID	ENCSR354KAS
HNRNPL	HepG2		ENCSR724RDN	ENCSR513UTE
HNRNPM	HepG2		ENCSR267UCX	ENCSR459ONR
HNRNPU	HepG2		ENCSR240MVJ	ENCSR614VYQ
HNRNPUL1		HepG2		ENCSR755TJC	ENCSR643JMB
IGF2BP1			HepG2		ENCSR744GEU	ENCSR205ZCE
IGF2BP3			HepG2		ENCSR993OLA	ENCSR077KVG
ILF3			HepG2		ENCSR786TSC	ENCSR080OLK
LARP4			HepG2		ENCSR805SRN	ENCSR192PUP
LARP7			HepG2		ENCSR961OKA	ENCSR095SIV
