gene	chrom	str.start	beta	beta.se
ENSG00000141956.9	chr21	43140236	-0.14180273346745145	0.06198962546917393
ENSG00000141956.9	chr21	43149067	0.00643318783927627	0.06249870667706307
ENSG00000141956.9	chr21	43153174	0.029276147720785583	0.06754477314931807
ENSG00000141956.9	chr21	43197866	-0.07099734485165178	0.06577165297365598
ENSG00000141956.9	chr21	43204147	0.17488055824051224	0.06165739592262043
ENSG00000141956.9	chr21	43211208	0.02452633107390305	0.06272670565790235
ENSG00000141956.9	chr21	43231824	0.2604462764387586	0.06143255203679712
ENSG00000141956.9	chr21	43263201	-0.0939786454485676	0.06347549345301913
ENSG00000141956.9	chr21	43309738	-0.001553041061003499	0.06788434146370315
ENSG00000141956.9	chr21	43322903	0.0649097701065863	0.06427981884677249
ENSG00000141956.9	chr21	43328353	0.1616467916844652	0.06745958688920534
ENSG00000141956.9	chr21	43330801	0.03780254533186285	0.06294905245219112
ENSG00000141956.9	chr21	43336774	-0.0285140215385782	0.06678814287997377
ENSG00000141956.9	chr21	43341864	-0.10468850193285836	0.06252399752932991
ENSG00000141956.9	chr21	43353370	0.04284590288088833	0.06751168438042968
ENSG00000141956.9	chr21	43358277	-0.08957000654071587	0.06730212715291625
ENSG00000141956.9	chr21	43375146	-0.01490637708814704	0.06680788688210591
ENSG00000141956.9	chr21	43389626	-0.04582297821447106	0.06530337665735833
ENSG00000141956.9	chr21	43396347	-0.039087837364287885	0.06798938305496885
ENSG00000141959.12	chr21	45633135	-0.03394712058094787	0.06283322529997859
ENSG00000141959.12	chr21	45640673	0.029054284784915733	0.0688137760557464
ENSG00000141959.12	chr21	45642818	0.02661945270722612	0.06493396206356446
ENSG00000141959.12	chr21	45700161	-0.13198153804439947	0.06564727896231044
ENSG00000141959.12	chr21	45719081	-0.11211445928289944	0.06509914353779897
ENSG00000141959.12	chr21	45779605	-0.03853332834515683	0.06830782383612669
ENSG00000142149.4	chr21	33161193	0.05544306215828741	0.06264906842909566
ENSG00000142149.4	chr21	33171988	0.09666525387004553	0.06606150613910264
ENSG00000142149.4	chr21	33172372	-0.12011735884893553	0.06739291967703424
ENSG00000142149.4	chr21	33178655	-0.03564082350710547	0.06295405643031025
ENSG00000142149.4	chr21	33186533	0.09004243863730743	0.06298864530196667
ENSG00000142149.4	chr21	33193898	0.09846860443653192	0.06694037104579015
ENSG00000142149.4	chr21	33198002	-0.06082048096939052	0.06483672674819782
ENSG00000142149.4	chr21	33207464	-0.10177438268858643	0.06291715108071441
ENSG00000142149.4	chr21	33210309	0.03765157441032658	0.06768052173765232
ENSG00000142149.4	chr21	33229862	-0.03938411981742605	0.06706353351490991
ENSG00000142149.4	chr21	33237311	-0.09563591814704776	0.06452326045178168
ENSG00000142149.4	chr21	33237529	0.036571393671009984	0.06258053738559964
ENSG00000142149.4	chr21	33272759	0.01810591336682504	0.06680435774591688
ENSG00000142149.4	chr21	33278299	-0.10068336201951973	0.06395578472057847
ENSG00000142149.4	chr21	33296579	-0.10245864154836662	0.06329361650091928
ENSG00000142149.4	chr21	33323493	-0.09968267186495663	0.06754630993512467
ENSG00000142149.4	chr21	33324518	-0.05694178816786798	0.0667069026453546
ENSG00000142149.4	chr21	33330598	-0.036275188699716944	0.06450723831106085
ENSG00000142149.4	chr21	33341028	0.033046569843005996	0.06723053888277891
ENSG00000142149.4	chr21	33341116	0.047108207269933394	0.06434414786402702
ENSG00000142149.4	chr21	33345874	0.03527248417253728	0.0629548796556828
ENSG00000142149.4	chr21	33352385	-0.02836854401937249	0.062474845741550676
ENSG00000142149.4	chr21	33354151	0.0184856633930464	0.06336159632261391
ENSG00000142149.4	chr21	33362831	-0.07345962979182002	0.06424162385592898
ENSG00000142149.4	chr21	33373967	-0.059065780210866135	0.06263603254724999
ENSG00000142149.4	chr21	33380551	0.031004469070716207	0.06259232311812762
ENSG00000142149.4	chr21	33418498	0.0104740717883343	0.06362498598331652
ENSG00000142149.4	chr21	33420429	-0.05677789324945029	0.0630176181916014
ENSG00000142149.4	chr21	33433214	0.08740793060908833	0.06512184023427506
ENSG00000142149.4	chr21	33439385	0.14269996462043252	0.06797740746003332
ENSG00000142149.4	chr21	33441864	0.09989551695118694	0.06422684036850229
ENSG00000142149.4	chr21	33461876	-0.0045403057030562926	0.0633717718575865
ENSG00000142149.4	chr21	33481459	-0.0333747282570115	0.06519646666818724
ENSG00000142149.4	chr21	33505772	0.10604615186598083	0.062269314309742925
ENSG00000142156.10	chr21	47339729	0.0004692075236340078	0.06362846929349154
ENSG00000142156.10	chr21	47400075	0.1375620328219085	0.06251937347944693
ENSG00000142156.10	chr21	47436409	0.07519925072662778	0.06370676037205691
ENSG00000142156.10	chr21	47449975	0.05108979726349266	0.06779577058894734
ENSG00000142156.10	chr21	47473611	-0.05389380872391838	0.06642233662384826
ENSG00000142156.10	chr21	47499809	-0.05986814321216735	0.0631321092766058
ENSG00000142166.8	chr21	34601289	0.00860938181035343	0.06428005225537631
ENSG00000142166.8	chr21	34603311	0.11616214133721987	0.06358505201567312
ENSG00000142166.8	chr21	34609384	-0.04305892542072877	0.0663107731043661
ENSG00000142166.8	chr21	34609672	-0.06013490490431215	0.06807601063695308
ENSG00000142166.8	chr21	34624387	0.012047824260200013	0.06349545481353933
ENSG00000142166.8	chr21	34655335	0.044571546159513316	0.06475595353288822
ENSG00000142166.8	chr21	34660687	2.251454543828916e-05	0.06608186002876036
ENSG00000142166.8	chr21	34691518	0.12818966799683415	0.062474356930539
ENSG00000142166.8	chr21	34699091	0.2468469098569797	0.061411332990376113
ENSG00000142166.8	chr21	34709934	-0.0811350375658208	0.06241597035699019
ENSG00000142166.8	chr21	34716468	-0.08446628845917882	0.06445346172635079
ENSG00000142166.8	chr21	34736136	-0.045784696818727766	0.06960023719191588
ENSG00000142166.8	chr21	34740563	0.2858654096667866	0.06048545205734871
ENSG00000142166.8	chr21	34764162	0.08608895635063972	0.06794624043176667
ENSG00000142166.8	chr21	34767684	-0.050915629789397926	0.06278791702454573
ENSG00000142166.8	chr21	34770958	0.026523272536312103	0.06833454388459559
ENSG00000142166.8	chr21	34791767	-0.033884812475338665	0.06437867161453968
ENSG00000142166.8	chr21	34802445	-0.08989651799577117	0.06236887786143847
ENSG00000142166.8	chr21	34809027	-0.01981167523461152	0.06453705323056667
ENSG00000142166.8	chr21	34811039	0.10849500046277806	0.06892822475348008
ENSG00000142166.8	chr21	34814319	-0.10446082269332173	0.06227982194624375
ENSG00000142166.8	chr21	34819989	-0.06333328246723632	0.07039295869255788
ENSG00000142168.10	chr21	32941393	0.05541373349951001	0.06252620840737534
ENSG00000142168.10	chr21	32959592	0.0054719655504470105	0.06414906949961716
ENSG00000142168.10	chr21	32962333	-0.04113700374062145	0.06462986818494637
ENSG00000142168.10	chr21	32963567	0.021269479751700317	0.0628552389555121
ENSG00000142168.10	chr21	32964604	-0.09469327244334368	0.06773563754262167
ENSG00000142168.10	chr21	32967793	-0.02648255916104129	0.06479763826423783
ENSG00000142168.10	chr21	32971075	-0.03567941628683578	0.06270562958230086
ENSG00000142168.10	chr21	32975906	-0.00768553214885767	0.06916940346754084
ENSG00000142168.10	chr21	32980445	0.02635845217433079	0.06309750981628229
ENSG00000142168.10	chr21	32982890	-0.030506631059263968	0.06259328240162414
ENSG00000142168.10	chr21	32989170	0.04862721459768999	0.06267135231967359
ENSG00000142168.10	chr21	33009547	-0.02695193377625708	0.06347699587333762
ENSG00000142168.10	chr21	33013422	-0.0018572628899842984	0.06772842933547375
ENSG00000142168.10	chr21	33056023	-0.04979333436236937	0.0689209562384634
ENSG00000142168.10	chr21	33072485	-0.051912526572096884	0.06687465986954785
ENSG00000142168.10	chr21	33095924	-0.07775982423836204	0.06588177215869644
ENSG00000142173.10	chr21	47436409	-0.06662989622519888	0.06374568274870111
ENSG00000142173.10	chr21	47449975	0.08690137882669946	0.06762761108047274
ENSG00000142173.10	chr21	47473611	0.026277721084547748	0.06649604024988384
ENSG00000142173.10	chr21	47499809	-0.08388585400564566	0.06302263604444804
ENSG00000142173.10	chr21	47536831	0.009988113591780465	0.06579188747167877
ENSG00000142173.10	chr21	47543514	-0.07826529366419735	0.06255311267039028
ENSG00000142173.10	chr21	47543592	-0.1205882429258074	0.0635512725642944
