gene	chrom	str.start	beta	beta.se
ENSG00000141956.9	chr21	43140236	-0.11506470415386533	0.07244807802752885
ENSG00000141956.9	chr21	43149067	0.04088256855048904	0.07287152114205529
ENSG00000141956.9	chr21	43153174	0.024330646869792014	0.07978506236095842
ENSG00000141956.9	chr21	43197866	-0.02661291552887629	0.07644482598224983
ENSG00000141956.9	chr21	43204147	0.15534580165695827	0.07204710641005277
ENSG00000141956.9	chr21	43211208	0.27840206829371283	0.07042468288162418
ENSG00000141956.9	chr21	43231824	0.20188266321767687	0.07279895081100463
ENSG00000141956.9	chr21	43263201	0.008804159986872031	0.07453271044637318
ENSG00000141956.9	chr21	43309738	0.17568108885841122	0.07856743442230989
ENSG00000141956.9	chr21	43322903	-0.06706008332968652	0.07478444474230395
ENSG00000141956.9	chr21	43328353	0.15302077294278105	0.0791211600537832
ENSG00000141956.9	chr21	43330801	-0.04486162852154201	0.07344744156074022
ENSG00000141956.9	chr21	43336774	-0.021028308234606767	0.0780696144262501
ENSG00000141956.9	chr21	43341864	-0.051957076260156936	0.07322452077055842
ENSG00000141956.9	chr21	43353370	-0.023656545108605303	0.07878898494258407
ENSG00000141956.9	chr21	43375146	0.013738999302117208	0.07784254659239355
ENSG00000141956.9	chr21	43389626	-0.05796361078471904	0.07546580000521692
ENSG00000141956.9	chr21	43396347	-0.1125328833268662	0.07806835996875265
ENSG00000141959.12	chr21	45633135	0.009255574390238606	0.07312411009898502
ENSG00000141959.12	chr21	45640673	-0.04495500285922753	0.07998313314652927
ENSG00000141959.12	chr21	45642818	-0.05781010939354767	0.0748278170070758
ENSG00000141959.12	chr21	45700161	-0.2176793824376911	0.07463814016715163
ENSG00000141959.12	chr21	45719081	-0.03822052547564162	0.07619357200777799
ENSG00000141959.12	chr21	45779605	-0.037336657428085576	0.07851263852069976
ENSG00000142149.4	chr21	33161193	-0.1369218249321959	0.0734268124014339
ENSG00000142149.4	chr21	33171988	-0.08251591642067517	0.07711842994220014
ENSG00000142149.4	chr21	33172372	0.007106280794174892	0.07930315612194201
ENSG00000142149.4	chr21	33178655	-0.0661775113165669	0.07336029329555954
ENSG00000142149.4	chr21	33186533	-0.06511568920202991	0.07396761791560215
ENSG00000142149.4	chr21	33193898	0.08035077418522497	0.07713211906167965
ENSG00000142149.4	chr21	33198002	0.12208369295885425	0.07545988376153002
ENSG00000142149.4	chr21	33207464	0.08517179747158529	0.07385558245640636
ENSG00000142149.4	chr21	33210309	0.07462124116245067	0.07670861142833017
ENSG00000142149.4	chr21	33229862	-0.07200596831394132	0.07812272634344207
ENSG00000142149.4	chr21	33237311	0.033251781374676916	0.07533615269981797
ENSG00000142149.4	chr21	33237529	-0.07547863033072365	0.07253180205124543
ENSG00000142149.4	chr21	33272759	0.009128247387728309	0.07624610836807945
ENSG00000142149.4	chr21	33278299	0.04706493214957168	0.07424704515063794
ENSG00000142149.4	chr21	33296579	0.086365448586962	0.07405168455227533
ENSG00000142149.4	chr21	33323493	0.023984994480437682	0.07690094758766193
ENSG00000142149.4	chr21	33324518	0.08761116145293771	0.07826530869810894
ENSG00000142149.4	chr21	33330598	0.05306686963404797	0.0748475569597946
ENSG00000142149.4	chr21	33341028	0.08762899970192414	0.07924969186584029
ENSG00000142149.4	chr21	33341116	-0.00774237638700636	0.07453336522091895
ENSG00000142149.4	chr21	33345874	0.02913394904864405	0.07329243286399184
ENSG00000142149.4	chr21	33352385	-0.09744205393964628	0.07258542458621996
ENSG00000142149.4	chr21	33354151	-0.10509365268327453	0.07412284563725895
ENSG00000142149.4	chr21	33362831	-0.0941278613586464	0.0754732176641157
ENSG00000142149.4	chr21	33373967	0.07496725829879516	0.07311722471054154
ENSG00000142149.4	chr21	33380551	-0.10965126413677796	0.07230068754469049
ENSG00000142149.4	chr21	33418498	-0.009482148731638051	0.07371766383419127
ENSG00000142149.4	chr21	33420429	-0.06307733698743585	0.07337505465934971
ENSG00000142149.4	chr21	33433214	0.09242603517576826	0.07548530450045855
ENSG00000142149.4	chr21	33439385	0.11934014152116	0.07849195542465287
ENSG00000142149.4	chr21	33441864	0.031044838793271582	0.07491704093451436
ENSG00000142149.4	chr21	33461876	-0.012003805948506908	0.07411959109271575
ENSG00000142149.4	chr21	33481459	0.06223385079764629	0.07677396886160509
ENSG00000142149.4	chr21	33505772	0.008073476527055756	0.0733211678194825
ENSG00000142156.10	chr21	47339729	0.17453933241084812	0.07298712898129182
ENSG00000142156.10	chr21	47400075	0.3074173549335051	0.06996116953443055
ENSG00000142156.10	chr21	47436409	0.3112567972582008	0.07025010768171619
ENSG00000142156.10	chr21	47449975	-0.1436058654560273	0.0782375131972599
ENSG00000142156.10	chr21	47473611	-0.21703733330828665	0.07531263395366193
ENSG00000142156.10	chr21	47499809	0.030068123851021037	0.07388870333468649
ENSG00000142166.8	chr21	34601289	-0.06116107715202709	0.07523672197265723
ENSG00000142166.8	chr21	34603311	0.10335707375592698	0.07497413627168571
ENSG00000142166.8	chr21	34609384	-0.003328197357873035	0.07715124767925892
ENSG00000142166.8	chr21	34609672	-0.15848497331796604	0.07830285155222683
ENSG00000142166.8	chr21	34624387	0.03556668807123931	0.07347494556243972
ENSG00000142166.8	chr21	34655335	-0.06708852710957926	0.07499525896616825
ENSG00000142166.8	chr21	34660687	0.152557486269059	0.07407581196236401
ENSG00000142166.8	chr21	34691518	0.1559764759908907	0.07242613363280635
ENSG00000142166.8	chr21	34699091	0.3703084348604492	0.06848006942166213
