gene	chrom	str.start	beta	beta.se
ENSG00000141956.9	chr21	43140236	-0.2024846783340644	0.059597413411432223
ENSG00000141956.9	chr21	43149067	0.08887869865618668	0.06039394499150313
ENSG00000141956.9	chr21	43153174	0.08972537594923043	0.06510836978344639
ENSG00000141956.9	chr21	43197866	0.0012106073026484454	0.06388760968405913
ENSG00000141956.9	chr21	43204147	0.14342936898893194	0.06011759742959126
ENSG00000141956.9	chr21	43211208	0.13419440134219945	0.06019623085405534
ENSG00000141956.9	chr21	43231824	0.09972441290570876	0.06147223793020212
ENSG00000141956.9	chr21	43263201	-0.07137035787271645	0.06150539473748742
ENSG00000141956.9	chr21	43309738	0.06496154602252638	0.06594227982657623
ENSG00000141956.9	chr21	43322903	-0.04836578964647315	0.06218442034225164
ENSG00000141956.9	chr21	43328353	0.06785965033759962	0.06564350354618828
ENSG00000141956.9	chr21	43330801	-0.0989633627436555	0.060336259121962485
ENSG00000141956.9	chr21	43336774	-0.013437169173590544	0.06536614307262284
ENSG00000141956.9	chr21	43341864	-0.07618398864474771	0.060569133440515475
ENSG00000141956.9	chr21	43353370	0.09909227478610284	0.06477407677084829
ENSG00000141956.9	chr21	43358277	-0.012632975708213735	0.06578991909266743
ENSG00000141956.9	chr21	43375146	0.056930648487802035	0.06417817724873512
ENSG00000141956.9	chr21	43375993	-0.02188996684235117	0.06073111840724636
ENSG00000141956.9	chr21	43389626	0.09554705302814218	0.0635953650171442
ENSG00000141956.9	chr21	43396347	-0.06462012345639215	0.06551599698193224
ENSG00000141959.12	chr21	45633135	-0.09231803828100232	0.060598171950423836
ENSG00000141959.12	chr21	45640673	-0.05358484544598858	0.06598692024484626
ENSG00000141959.12	chr21	45642818	0.005169389324462085	0.06213614636422336
ENSG00000141959.12	chr21	45700161	-0.024817976601201483	0.06360887787314808
ENSG00000141959.12	chr21	45719081	-0.11592772333897733	0.06294514609972587
ENSG00000141959.12	chr21	45779605	-0.005216760728378062	0.06666575950741135
ENSG00000142149.4	chr21	33161193	0.015428161166009053	0.061655302438596585
ENSG00000142149.4	chr21	33171988	-0.12499662931526853	0.06312944874001272
ENSG00000142149.4	chr21	33172372	0.00956795094816626	0.06536905271324288
ENSG00000142149.4	chr21	33178655	-0.05153619906105249	0.061117680437997014
ENSG00000142149.4	chr21	33186533	-0.07857402412591177	0.06135546340089741
ENSG00000142149.4	chr21	33193898	-0.11219133768160587	0.06454688230905872
ENSG00000142149.4	chr21	33198002	0.11656251337027455	0.06319474368537906
ENSG00000142149.4	chr21	33207464	-0.02328382606976262	0.06129731143276624
ENSG00000142149.4	chr21	33210309	-0.0823491825498158	0.06528966859011298
ENSG00000142149.4	chr21	33229862	-0.07817100171537186	0.065033192653978
ENSG00000142149.4	chr21	33237311	-0.02987487418108395	0.06309126671598332
ENSG00000142149.4	chr21	33237529	-0.0465889866401062	0.06056806654512047
ENSG00000142149.4	chr21	33272759	-0.14589853274588988	0.06333341444948565
ENSG00000142149.4	chr21	33278299	-0.09575519992237087	0.061851451813670376
ENSG00000142149.4	chr21	33296579	0.03385960573160743	0.06210134720526812
ENSG00000142149.4	chr21	33323493	-0.12360389454118265	0.06514976371640055
ENSG00000142149.4	chr21	33324518	-0.04501662296127484	0.06461904792098133
ENSG00000142149.4	chr21	33330598	-0.029334648569487993	0.062351441447312236
ENSG00000142149.4	chr21	33341028	0.13354586788266815	0.06548994059797311
ENSG00000142149.4	chr21	33341116	0.06186205613976312	0.06225881357481699
ENSG00000142149.4	chr21	33345874	-0.012285355800326659	0.06108011224664631
ENSG00000142149.4	chr21	33352385	0.017892048507263246	0.06062420025549563
ENSG00000142149.4	chr21	33354151	-0.01644575689013503	0.061537422005820026
ENSG00000142149.4	chr21	33362831	0.009267087944398966	0.062742886194656
ENSG00000142149.4	chr21	33373967	0.07630139611520699	0.0609066479519441
ENSG00000142149.4	chr21	33380551	-0.10888739742648147	0.06049620541150851
ENSG00000142149.4	chr21	33418498	0.06009863739255818	0.06178656110571563
ENSG00000142149.4	chr21	33420429	-0.052699591271958654	0.06134414991344246
ENSG00000142149.4	chr21	33433214	0.03094137791709216	0.06334208239503106
ENSG00000142149.4	chr21	33439385	0.04638580618381785	0.06586707157088954
ENSG00000142149.4	chr21	33441864	0.02271445468085873	0.06297782595247782
ENSG00000142149.4	chr21	33461876	-0.05234557054846487	0.0616955075641888
ENSG00000142149.4	chr21	33481459	-0.16926541348509413	0.06220865864451254
ENSG00000142149.4	chr21	33505772	0.02610408570701218	0.06117815136880255
ENSG00000142156.10	chr21	47339729	0.3154634530727575	0.05851400696032441
ENSG00000142156.10	chr21	47400075	0.2167315647368384	0.05952186905113933
ENSG00000142156.10	chr21	47436409	0.3755551457841351	0.05792500311808961
ENSG00000142156.10	chr21	47449975	0.07831882779825022	0.06602319373205365
ENSG00000142156.10	chr21	47473611	-0.15594919367546733	0.06457222316320854
ENSG00000142156.10	chr21	47499809	-0.0044032009506434775	0.06108413001453032
ENSG00000142166.8	chr21	34601289	0.01399122129946206	0.06213089451310245
ENSG00000142166.8	chr21	34603311	-0.030862904530946506	0.06210737622815516
ENSG00000142166.8	chr21	34609384	0.03876049196601313	0.06603220149543929
ENSG00000142166.8	chr21	34609672	0.019484419374737647	0.06578267898582812
ENSG00000142166.8	chr21	34624387	0.06216717808836528	0.061426700651354325
ENSG00000142166.8	chr21	34655335	-0.006314183286738218	0.06274432970237923
ENSG00000142166.8	chr21	34660687	0.027157176118636626	0.06399482842147239
ENSG00000142166.8	chr21	34691518	0.19704164287834589	0.05977574544403104
ENSG00000142166.8	chr21	34699091	0.110432776290289	0.061285487955302025
ENSG00000142166.8	chr21	34709934	0.19518758752911367	0.05968751360440615
ENSG00000142166.8	chr21	34716468	-0.0477440831301842	0.06355591444735173
ENSG00000142166.8	chr21	34736136	-0.1377759612019579	0.06662577954566325
ENSG00000142166.8	chr21	34740563	0.04741780891196441	0.060789605330918636
ENSG00000142166.8	chr21	34764162	0.09589675322287827	0.06680628890668439
ENSG00000142166.8	chr21	34767684	0.09447111158882347	0.060585880553975936
ENSG00000142166.8	chr21	34770958	-0.03985457864798937	0.06752004987395069
ENSG00000142166.8	chr21	34791767	-0.11479793445641548	0.062086803972484624
ENSG00000142166.8	chr21	34802445	-0.013799348527718412	0.0606281329687811
ENSG00000142166.8	chr21	34809027	0.06943124625114186	0.06271774093382156
ENSG00000142166.8	chr21	34811039	0.0685526583008315	0.06772472518294542
ENSG00000142166.8	chr21	34814319	-0.03478457295252981	0.06082123269253036
ENSG00000142166.8	chr21	34819989	-0.014236412881682682	0.0672604623410814
ENSG00000142168.10	chr21	32941393	-0.020141159885309054	0.061072330914071875
ENSG00000142168.10	chr21	32959592	0.051982436143736835	0.061462535593341264
ENSG00000142168.10	chr21	32962333	-0.011695576636156408	0.0631151232180787
ENSG00000142168.10	chr21	32963567	-0.04496395404798924	0.06125192164658912
ENSG00000142168.10	chr21	32964604	0.02599523582525448	0.06605952878829023
ENSG00000142168.10	chr21	32967793	-0.04547557805244745	0.06343436955730089
ENSG00000142168.10	chr21	32971075	0.05338882256791057	0.06077126616422447
ENSG00000142168.10	chr21	32975906	0.002851759181797509	0.06726700587247672
ENSG00000142168.10	chr21	32980445	-0.070556612346839	0.061862806163009335
ENSG00000142168.10	chr21	32982890	0.02194603176323677	0.0607310437431491
ENSG00000142168.10	chr21	32989170	-0.10491833117175636	0.0602992581100144
ENSG00000142168.10	chr21	33009547	-0.0781669125646491	0.06170905451486997
ENSG00000142168.10	chr21	33013422	0.07543497270763594	0.06647671488382144
ENSG00000142168.10	chr21	33026273	-0.07087811440074934	0.061045089644124174
ENSG00000142168.10	chr21	33056023	-0.05141536583385643	0.06672693756741559
ENSG00000142168.10	chr21	33072485	-0.00619220285809201	0.0650932075078499
ENSG00000142168.10	chr21	33095924	0.0364128352973379	0.06397598503798413
ENSG00000142173.10	chr21	47436409	0.211370956220782	0.06108786956566362
ENSG00000142173.10	chr21	47449975	0.10657461874995054	0.06584943786936866
ENSG00000142173.10	chr21	47473611	-0.05949669101518178	0.06525623864986052
ENSG00000142173.10	chr21	47499809	-0.039325184685445866	0.06103747105321936
ENSG00000142173.10	chr21	47536831	-0.07087180655468202	0.06321307077980268
ENSG00000142173.10	chr21	47543514	-0.0687445063652598	0.060714089915268
ENSG00000142173.10	chr21	47543592	-0.07316481164631923	0.062454592456981775
ENSG00000142173.10	chr21	47544452	0.017686924883520354	0.0615361181416249
ENSG00000142173.10	chr21	47561631	-0.140054417948988	0.06543054452823911
ENSG00000142173.10	chr21	47586281	0.03451956457671946	0.06533308476082474
ENSG00000142173.10	chr21	47606512	0.008030205443654672	0.06096911021776082
ENSG00000142173.10	chr21	47615478	-0.0066315231319015325	0.06189708498700649
ENSG00000142173.10	chr21	47624300	-0.06549471177171379	0.0648175121779328
ENSG00000142173.10	chr21	47652662	-0.05066218618509655	0.060667667178868914
ENSG00000142178.7	chr21	44747460	0.05019568609605839	0.06135207376351935
ENSG00000142178.7	chr21	44747767	0.12537816227014548	0.06584858871864177
ENSG00000142178.7	chr21	44754764	-0.11320683027030973	0.060579120084900386
ENSG00000142178.7	chr21	44779527	-0.07798654929799556	0.06206767056351144
ENSG00000142178.7	chr21	44780395	0.0582555900912169	0.060642509605911214
ENSG00000142178.7	chr21	44788515	0.06471493502509801	0.061070720262257634
ENSG00000142178.7	chr21	44788984	0.006592117986090417	0.06388626833328799
ENSG00000142178.7	chr21	44800286	0.02537336943205188	0.06095144609546903
ENSG00000142178.7	chr21	44805751	0.06217938664715415	0.06759749072062962
ENSG00000142178.7	chr21	44836219	-0.02143210959163136	0.06310494215050459
ENSG00000142178.7	chr21	44861817	-0.06489923326431138	0.06072976235146633
ENSG00000142178.7	chr21	44895065	0.016295687486236186	0.06414151184246959
ENSG00000142178.7	chr21	44895740	0.029603925873237093	0.06271807961130099
ENSG00000142178.7	chr21	44915898	-0.003406209370448507	0.06166228388371299
ENSG00000142185.12	chr21	45700161	0.02757937557497263	0.06360427308624428
ENSG00000142185.12	chr21	45719081	-0.025093975255732245	0.06335246886165473
ENSG00000142185.12	chr21	45779605	0.009418004607360031	0.06666370997407522
ENSG00000142185.12	chr21	45888249	-0.041554749868129966	0.061726842329593
ENSG00000142188.12	chr21	34709934	0.0008519001588505258	0.060858039861635765
ENSG00000142188.12	chr21	34716468	0.05554247847416955	0.06353025461428631
ENSG00000142188.12	chr21	34736136	-0.04055898405871325	0.06721192824039811
ENSG00000142188.12	chr21	34740563	-0.07728599710144297	0.060676033301706275
ENSG00000142188.12	chr21	34764162	0.2405908167228201	0.06514419414744517
ENSG00000142188.12	chr21	34767684	-0.005493331831425443	0.060857143690516
ENSG00000142188.12	chr21	34770958	0.2717320902202283	0.06503113659384581
ENSG00000142188.12	chr21	34791767	0.0471714924660192	0.06243042534677003
ENSG00000142188.12	chr21	34802445	-0.21671312774934848	0.05919296150841239
ENSG00000142188.12	chr21	34809027	-0.161175073388644	0.062047495377980426
ENSG00000142188.12	chr21	34811039	-0.5751264216816862	0.0555338398550734
ENSG00000142188.12	chr21	34814319	0.6314270413672953	0.04719148900942265
ENSG00000142188.12	chr21	34819989	0.3815600092283768	0.062178110804018076
ENSG00000142188.12	chr21	34839088	0.6284704840573314	0.04851991651190216
ENSG00000142188.12	chr21	34857310	-0.3128986971053081	0.05801744479515587
ENSG00000142188.12	chr21	34868768	-0.31514632692876865	0.05754418994485212
ENSG00000142188.12	chr21	34885391	0.3684552447377544	0.059514453838351
ENSG00000142192.16	chr21	27157013	0.033823244875611135	0.06677708078623044
ENSG00000142192.16	chr21	27173180	0.0908146066138612	0.06140784022551085
ENSG00000142192.16	chr21	27182186	0.02180721020142317	0.06323051306397025
ENSG00000142192.16	chr21	27188893	-0.04032750922192538	0.06463200277282599
ENSG00000142192.16	chr21	27191936	0.07868207436483549	0.06461941363380411
ENSG00000142192.16	chr21	27198057	0.018631566717394167	0.06440448119514025
ENSG00000142192.16	chr21	27202449	-0.014026131008119308	0.06085207527575751
ENSG00000142192.16	chr21	27249919	-0.06112570294502333	0.06178270066370256
ENSG00000142192.16	chr21	27265262	-0.0841717816750123	0.06353141183153052
ENSG00000142192.16	chr21	27268726	0.015680132712288856	0.0613063959620659
ENSG00000142192.16	chr21	27273711	-0.02469034300125029	0.06439602533295438
ENSG00000142192.16	chr21	27300655	-0.0272491819170406	0.06117628123779331
ENSG00000142192.16	chr21	27318982	0.028265538302341325	0.061404967512915264
ENSG00000142192.16	chr21	27325058	0.008123764879017765	0.06142748461256686
ENSG00000142192.16	chr21	27334219	-0.10917595862438244	0.06626816262759626
ENSG00000142192.16	chr21	27352974	-0.034531038545849546	0.06082176777050646
ENSG00000142192.16	chr21	27385291	-0.08650639095586188	0.06154861060076575
ENSG00000142192.16	chr21	27409281	0.1303016352857834	0.060339210390304036
ENSG00000142192.16	chr21	27413077	0.01855418170698537	0.06118847111615487
ENSG00000142192.16	chr21	27415232	0.06981894460351779	0.06321777605019606
ENSG00000142192.16	chr21	27429783	-0.014247577439481662	0.06261607281405727
ENSG00000142192.16	chr21	27434978	0.1043323926623116	0.06191751051126203
ENSG00000142192.16	chr21	27447067	-0.1280372833606884	0.06511284813060604
ENSG00000142192.16	chr21	27454547	0.03015800409489568	0.06259394491761222
ENSG00000142192.16	chr21	27491202	-0.08669153088905003	0.061198242004350686
ENSG00000142192.16	chr21	27492003	0.025988716472429608	0.06164181419373941
ENSG00000142192.16	chr21	27499517	0.02825235327869144	0.06438994936308114
ENSG00000142192.16	chr21	27511013	0.07255773653098932	0.06126759662116636
ENSG00000142192.16	chr21	27512198	-0.00024000102697689784	0.06119900437366393
ENSG00000142192.16	chr21	27522921	-0.09827948376607272	0.06256510105357904
ENSG00000142192.16	chr21	27525774	-0.03814965125314797	0.06058976702421595
ENSG00000142192.16	chr21	27535228	-0.028066215015237025	0.06506881258390465
ENSG00000142192.16	chr21	27545115	-0.05238413856207237	0.06122975043594234
ENSG00000142192.16	chr21	27547040	0.03482345440578121	0.06707489853602641
ENSG00000142192.16	chr21	27554138	-0.03798267500378296	0.06384155502938213
ENSG00000142192.16	chr21	27565267	0.02117171630892655	0.062003466355597774
ENSG00000142192.16	chr21	27570785	0.017578287831564537	0.0642725023718873
